-4382.53639283608, -4382.53639283608
-4623.367699874879, -4394.57795818802
-4634.829215942569, -4406.590521075747
-4574.320734443562, -4414.977031744137
-4629.567206414778, -4425.706540477669
-4644.979557204968, -4436.670191314033
-4683.600086946786, -4449.016686095671
-4767.809460971222, -4464.956324839448
-6019.974903024062, -4542.707253748678
-5206.02098087406, -4575.872940104947
-4956.813663909553, -4594.919976295178
-5422.610433490182, -4636.304499154928
-4919.385775515532, -4650.458562972957
-5115.339874867591, -4673.702628567688
-5060.401557140932, -4693.0375749963505
-5081.370225436512, -4712.454207518358
-5139.555858822689, -4733.8092900835745
-5066.384381538788, -4750.4380446563355
-4827.924033150489, -4754.312344081042
-4972.4281894646465, -4765.218136350222
-4931.507321133091, -4773.532595589365
-4967.9068023794625, -4783.251305928869
-4770.210648643989, -4782.599273064625
-4632.236333959887, -4775.081126109388
-4848.866406543524, -4778.770390131094
-4726.161994683337, -4776.139970358706
-4554.172477854763, -4765.041595733508
-5085.870143092022, -4781.083023101433
-4656.902008513942, -4774.873972372058
-4834.5636094401225, -4777.858454225461
-4775.62384534757, -4777.746723781566
-4897.0335105010745, -4783.711063117542
-4719.561039482918, -4780.5035619358105
-4667.110596228731, -4774.833913650456
-4710.526482586452, -4771.618542097256
-4761.436694897648, -4771.109449737276
-4935.133192780043, -4779.310636889414
-4881.454217298038, -4784.417815909845
-4918.212745687151, -4791.107562398709
-4806.406870047234, -4791.8725277811345
-4785.016514817828, -4791.529727132969
-4596.115857533928, -4781.7590336530175
-4882.414004701774, -4786.791782205455
-4926.67730943602, -4793.786058566983
-4611.308817961637, -4784.662196536716
-4551.687540690962, -4773.013463744428
-4612.884034323133, -4765.006992273364
-4652.506760584648, -4759.381980688928
-4678.446527132014, -4755.335208011082
-5262.904496797811, -4780.713672450418
-4950.837038269214, -4789.219840741358
-5033.9030147114445, -4801.453999439862
-4588.233887031749, -4790.792993819456
-4743.246851000907, -4788.415686678528
-4692.359722407951, -4783.612888464999
-4779.058813573004, -4783.3851847204
-4972.110791978474, -4792.821465083302
-4885.523509344974, -4797.456567296385
-5988.121040639315, -4856.989790963531
-4894.292157868607, -4858.854909308784
-4886.014810975781, -4860.212904392133
-4957.930697955088, -4865.098794070281
-4981.435490709218, -4870.915628902227
-4789.663974714404, -4866.853046192835
-4786.602834928539, -4862.84053562962
-4809.45687506594, -4860.1713526014355
-4768.909510362647, -4855.6082604894955
-4982.809336948691, -4861.968314312455
-4925.526961942352, -4865.14624669395
-4988.440468740331, -4871.31095779627
-4950.362911966126, -4875.263555504763
-5004.802699043596, -4881.740512681704
-5011.081695971651, -4888.207571846201
-4917.183574270291, -4889.656371967406
-4842.22736026268, -4887.284921382169
-4813.552631412213, -4883.59830688367
-4818.518534941296, -4880.344318286552
-4668.68891174644, -4869.761547959546
-4719.533022627313, -4862.250121692934
-4941.049947842293, -4866.190113000402
-4894.431368695439, -4867.602175785153
-4901.057480395388, -4869.274941015665
-4774.297567955918, -4864.526072362677
-4921.582876186997, -4867.378912553893
-5008.875715335302, -4874.4537526929635
-4882.477332476857, -4874.854931682158
-4980.199782312603, -4880.12217421368
-4791.948139658774, -4875.713472485935
-4628.384061311288, -4863.347001927203
-4796.440531969208, -4860.001678429302
-4764.776263890773, -4855.240407702376
-4776.370512021421, -4851.2969129183275
-4855.083410259742, -4851.486237785398
-5372.59366239103, -4877.54160901568
-5055.962549567363, -4886.462656043263
-4821.8886394663, -4883.233955214416
-4853.956515725313, -4881.7700832399605
-4884.32599325618, -4881.8978787407705
-4858.451298411072, -4880.725549724285
-4902.990682288049, -4881.8388063524735
-4871.892700212733, -4881.341501045486
-4868.989861858039, -4880.723919086114
-4891.617312814122, -4881.268588772514
-4720.338685049691, -4873.2220935863725
-4775.476305779996, -4868.3348041960535
-4840.4530566507465, -4866.940716818788
-4658.912537142618, -4856.53930783498
-4649.600781538228, -4846.192381520142
-4840.314024845352, -4845.8984636864025
-4869.53476675151, -4847.080278839658
-5075.471362767595, -4858.499833036055
-4989.461250841259, -4865.0479039263155
-4981.403393989108, -4870.865678429455
-4999.057772472192, -4877.275283131592
-5005.5078943942735, -4883.686913694725
-4838.428545235905, -4881.423995271784
-4792.104479125237, -4876.958019464457
-4836.822334603594, -4874.951235221413
-4966.458041948407, -4879.526575557763
-4882.975106455864, -4879.699002102668
-4896.992598164984, -4880.563681905783
-4795.2932860077835, -4876.300162110882
-4798.595441017669, -4872.414926056221
-4599.92612427292, -4858.790485967055
-4630.18410540565, -4847.360166938985
-4727.325540158206, -4841.358435599945
-4692.524480906812, -4833.916737865288
-4677.187866080124, -4826.08029427603
-4698.800766289049, -4819.7163178766805
-4731.260545351504, -4815.293529250422
-4757.571704162305, -4812.407437996016
-4775.672545839525, -4810.57069338819
-4804.1631018410335, -4810.250313810832
-4844.731938751939, -4811.974395057888
-4897.329081696097, -4816.242129389798
-5048.85343660544, -4827.87269475058
-5094.6773419665815, -4841.21292711138
-4719.199983269611, -4835.112279919291
-4658.407267477307, -4826.277029297191
-4653.919485992624, -4817.659152131962
-4662.593648146033, -4809.905876932666
-4707.685360845063, -4804.794851128286
-4713.645113423897, -4800.237364243067
-4846.270513449564, -4802.539021703391
-4880.344370733876, -4806.429289154915
-4863.919741137107, -4809.3038117540245
-4810.17333644247, -4809.347287988447
-4736.941033690893, -4805.726975273568
-4700.0608915386, -4800.443671086819
-4684.785752496073, -4794.660775157281
-4606.96754348979, -4785.2761135739065
-4620.180313805973, -4777.02132358551
-4644.244933217963, -4770.382504067132
